Portman_all,Portman_Gen2,Sanmina_all,Sanmina_Gen2,Portman Check,Sanmina Check,Boards,,
QR420-0345-20485,,QR420-0345-20461,,,MISSING,0,,
QR420-0345-20407,,QR420-0345-20401,,,MISSING,0,,
QR420-0345-20848,,QR420-0345-20504,,,MISSING,0,,
QR420-0345-20118,,QR420-0345-20429,,,MISSING,0,,
QR420-0345-20644,,QR420-0345-20153,,,MISSING,0,,
QR420-0345-20120,,QR420-0345-20226,,,MISSING,0,,
QR420-0345-20129,,QR420-0345-20849,,,MISSING,0,,
QR420-0345-20849,,QR420-0345-20684,,,MISSING,0,,
QR420-0345-20352,,QR420-0345-20626,,,MISSING,0,,
QR420-0345-21095,,QR420-0345-21038,,,MISSING,0,,
QR420-0345-20910,,QR420-0345-20638,,,MISSING,0,,
QR420-0345-20449,,QR420-0345-20677,,,MISSING,0,,
QR420-0345-20146,,QR420-0345-20722,,,MISSING,0,,
QR420-0345-20677,,QR420-0345-20848,,,MISSING,0,,
QR420-0345-20307,,QR420-0345-20074,,,MISSING,0,,
QR420-0345-20074,,QR420-0345-21060,,,MISSING,0,,
QR420-0345-20610,,QR420-0345-20319,,,MISSING,0,,
QR420-0345-20684,,QR420-0345-20955,,,MISSING,0,,
QR420-0345-20646,,QR420-0345-20868,,,MISSING,0,,
QR420-0345-21235,,QR420-0345-20816,,,MISSING,0,,
QR420-0345-20845,,QR420-0345-20453,,,MISSING,0,,
QR420-0345-20568,,QR420-0345-20723,,,MISSING,0,,
QR420-0345-21060,,QR420-0345-20146,,,MISSING,0,,
QR420-0345-20765,,QR420-0345-20407,,,MISSING,0,,
QR420-0345-20585,,QR420-0345-20585,,,MISSING,0,,
QR420-0345-20506,,QR420-0345-21393,,,MISSING,0,,
QR420-0345-20524,,QR420-0461-20028,,,MISSING,0,,
QR420-0345-20868,,QR420-0345-21282,,,MISSING,0,,
QR420-0345-21393,,QR420-0345-20644,,,MISSING,0,,
QR420-0345-20136,,QR420-0345-20911,,,MISSING,0,,
QR420-0345-20180,,QR420-0345-20180,,,MISSING,0,,
QR420-0345-20878,,QR420-0345-20120,,,MISSING,0,,
QR420-0345-21282,,QR420-0345-20610,,,MISSING,0,,
QR420-0345-20242,,QR420-0345-20680,,,MISSING,0,,
QR420-0345-20191,,QR420-0345-20106,,,MISSING,0,,
QR420-0345-20680,,QR420-0345-21337,,,MISSING,0,,
QR420-0345-20888,,QR420-0345-20477,,,MISSING,0,,
QR420-0345-21089,,QR420-0345-20118,,,MISSING,0,,
QR420-0345-21337,,QR420-0345-20307,,,MISSING,0,,
QR420-0345-20936,,QR420-0345-20524,,,MISSING,0,,
QR420-0345-20625,,QR420-0345-20936,,,MISSING,0,,
QR420-0345-20483,,QR420-0345-20646,,,MISSING,0,,
QR420-0345-20216,,QR420-0345-21090,,,MISSING,0,,
QR420-0345-20366,,QR420-0345-20449,,,MISSING,0,,
QR420-0345-20958,,QR420-0345-20568,,,MISSING,0,,
QR420-0345-20317,,QR420-0345-20765,,,MISSING,0,,
QR420-0345-20220,,QR420-0345-21089,,,MISSING,0,,
QR420-0345-20432,,QR420-0345-20506,,,MISSING,0,,
QR420-0345-20642,,QR420-0345-20136,,,MISSING,0,,
QR420-0345-21090,,QR420-0345-20317,,,MISSING,0,,
QR420-0345-21039,,QR420-0461-20010,,,MISSING,0,,
QR420-0345-20247,,QR420-0345-20242,,,MISSING,0,,
QR420-0345-20604,,QR420-0461-20015,,,MISSING,0,,
QR420-0345-21327,,QR420-0345-20887,,,MISSING,0,,
QR420-0345-20140,,QR420-0345-20845,,,MISSING,0,,
QR420-0345-20117,,QR420-0345-20698,,,MISSING,0,,
QR420-0345-20002,,QR420-0345-20140,,,MISSING,0,,
QR420-0345-20698,,QR420-0345-20763,,,MISSING,0,,
QR420-0345-20887,,QR420-0345-20220,,,MISSING,0,,
QR420-0345-20654,,QR420-0345-20888,,,MISSING,0,,
QR420-0345-20991,,QR420-0345-20651,,,MISSING,0,,
QR420-0345-20083,,QR420-0345-20664,,,MISSING,0,,
QR420-0345-20583,,QR420-0345-20625,,,MISSING,0,,
QR420-0345-20641,,QR420-0345-20483,,,MISSING,0,,
QR420-0345-20755,,QR420-0345-20641,,,MISSING,0,,
QR420-0345-20101,,QR420-0345-20642,,,MISSING,0,,
QR420-0345-20219,,QR420-0345-20191,,,MISSING,0,,
QR420-0345-20999,,QR420-0345-20101,,,MISSING,0,,
QR420-0345-20579,,QR420-0345-20247,,,MISSING,0,,
QR420-0345-20014,,QR420-0345-20219,,,MISSING,0,,
QR420-0345-20662,,QR420-0345-20662,,,MISSING,0,,
QR420-0345-20647,,QR420-0345-20958,,,MISSING,0,,
QR420-0345-20374,,QR420-0345-20834,,,MISSING,0,,
QR420-0345-20709,,QR420-0461-20016,,,MISSING,0,,
QR420-0345-20782,,QR420-0345-20782,,,MISSING,0,,
QR420-0345-20612,,QR420-0345-20432,,,MISSING,0,,
QR420-0345-20840,,QR420-0345-21327,,,MISSING,0,,
QR420-0345-20938,,QR420-0345-21039,,,MISSING,0,,
QR420-0345-20385,,QR420-0345-20754,,,MISSING,0,,
QR420-0345-20743,,QR420-0345-20840,,,MISSING,0,,
QR420-0345-21211,,QR420-0345-20654,,,MISSING,0,,
QR420-0345-20653,,QR420-0345-20002,,,MISSING,0,,
QR420-0345-20754,,QR420-0345-20612,,,MISSING,0,,
QR420-0345-20700,,QR420-0345-20647,,,MISSING,0,,
QR420-0461-20092,,QR420-0461-20037,,,MISSING,0,,
QR420-0345-20562,,QR420-0345-20604,,,MISSING,0,,
QR420-0345-20123,,QR420-0345-20117,,,MISSING,0,,
QR420-0345-20729,,QR420-0345-21211,,,MISSING,0,,
QR420-0345-20390,,QR420-0461-20017,,,MISSING,0,,
QR420-0345-20739,,QR420-0345-20700,,,MISSING,0,,
QR420-0345-20515,,QR420-0345-21000,,,MISSING,0,,
QR420-0345-20364,,QR420-0345-20999,,,MISSING,0,,
QR420-0345-20810,,QR420-0345-20743,,,MISSING,0,,
QR420-0345-21043,,QR420-0345-20583,,,MISSING,0,,
QR420-0345-21350,,QR420-0461-20048,,,MISSING,0,,
QR420-0345-20484,,QR420-0345-20861,,,MISSING,0,,
QR420-0345-00494,,QR420-0345-20755,,,MISSING,0,,
QR420-0345-20952,,QR420-0461-20113,,,MISSING,0,,
QR420-0345-20517,,QR420-0345-20385,,,MISSING,0,,
QR420-0345-20661,,QR420-0461-20100,,,MISSING,0,,
QR420-0345-21272,,QR420-0345-20709,,,MISSING,0,,
QR420-0345-20566,,QR420-0345-20579,,,MISSING,0,,
QR420-0345-20976,,QR420-0345-20014,,,MISSING,0,,
QR420-0461-20028,,QR420-0345-20374,,,MISSING,0,,
QR420-0345-20349,,QR420-0345-20562,,,MISSING,0,,
QR420-0345-20351,,QR420-0345-20938,,,MISSING,0,,
QR420-0345-21091,,QR420-0345-21043,,,MISSING,0,,
QR420-0345-20762,,QR420-0345-20729,,,MISSING,0,,
QR420-0345-20593,,QR420-0345-20515,,,MISSING,0,,
QR420-0345-21096,,QR420-0345-20566,,,MISSING,0,,
QR420-0345-20536,,QR420-0345-20484,,,MISSING,0,,
QR420-0345-20402,,QR420-0345-20390,,,MISSING,0,,
QR420-0345-20305,,QR420-0461-20127,,,MISSING,0,,
QR420-0345-20635,,QR420-0345-20810,,,MISSING,0,,
QR420-0345-20269,,QR420-0345-20653,,,MISSING,0,,
