metric,lowerRange,upperRange
TLM_4_Tx1.1v8_C.Amps.Now,NaN,NaN
TLM_4_Tx2.1v8_C.Amps.Now,NaN,NaN
TLM_4_Tx3.1v8_C.Amps.Now,NaN,NaN
TLM_5_Tx1.1v8_C.Amps.Now,NaN,NaN
TLM_5_Tx2.1v8_C.Amps.Now,NaN,NaN
TLM_5_Tx3.1v8_C.Amps.Now,NaN,NaN
TLM_6_Tx1.1v8_C.Amps.Now,NaN,NaN
TLM_6_Tx2.1v8_C.Amps.Now,NaN,NaN
TLM_6_Tx3.1v8_C.Amps.Now,NaN,NaN
TLM_1_Tx1.4v_A.Amps.Now,NaN,NaN
TLM_1_Tx2.4v_A.Amps.Now,NaN,NaN
TLM_1_Tx3.4v_A.Amps.Now,NaN,NaN
TLM_2_Tx1.4v_A.Amps.Now,NaN,NaN
TLM_2_Tx2.4v_A.Amps.Now,NaN,NaN
TLM_2_Tx3.4v_A.Amps.Now,NaN,NaN
TLM_3_Tx1.4v_A.Amps.Now,NaN,NaN
TLM_3_Tx2.4v_A.Amps.Now,NaN,NaN
TLM_3_Tx3.4v_A.Amps.Now,NaN,NaN
TLM_4_Tx1.4v_A.Amps.Now,NaN,NaN
TLM_4_Tx2.4v_A.Amps.Now,NaN,NaN
TLM_4_Tx3.4v_A.Amps.Now,NaN,NaN
TLM_5_Tx1.4v_A.Amps.Now,NaN,NaN
TLM_5_Tx2.4v_A.Amps.Now,NaN,NaN
TLM_5_Tx3.4v_A.Amps.Now,NaN,NaN
TLM_6_Tx1.4v_A.Amps.Now,NaN,NaN
TLM_6_Tx2.4v_A.Amps.Now,NaN,NaN
TLM_6_Tx3.4v_A.Amps.Now,NaN,NaN
TLM_1_Tx1.4v_B.Amps.Now,NaN,NaN
TLM_1_Tx2.4v_B.Amps.Now,NaN,NaN
TLM_1_Tx3.4v_B.Amps.Now,NaN,NaN
TLM_2_Tx1.4v_B.Amps.Now,NaN,NaN
TLM_2_Tx2.4v_B.Amps.Now,NaN,NaN
TLM_2_Tx3.4v_B.Amps.Now,NaN,NaN
TLM_3_Tx1.4v_B.Amps.Now,NaN,NaN
TLM_3_Tx2.4v_B.Amps.Now,NaN,NaN
TLM_3_Tx3.4v_B.Amps.Now,NaN,NaN
TLM_4_Tx1.4v_B.Amps.Now,NaN,NaN
TLM_4_Tx2.4v_B.Amps.Now,NaN,NaN
TLM_4_Tx3.4v_B.Amps.Now,NaN,NaN
TLM_5_Tx1.4v_B.Amps.Now,NaN,NaN
TLM_5_Tx2.4v_B.Amps.Now,NaN,NaN
TLM_5_Tx3.4v_B.Amps.Now,NaN,NaN
TLM_6_Tx1.4v_B.Amps.Now,NaN,NaN
TLM_6_Tx2.4v_B.Amps.Now,NaN,NaN
TLM_6_Tx3.4v_B.Amps.Now,NaN,NaN
TLM_1_Tx1.4v_C.Amps.Now,NaN,NaN
TLM_1_Tx2.4v_C.Amps.Now,NaN,NaN
TLM_1_Tx3.4v_C.Amps.Now,NaN,NaN
TLM_2_Tx1.4v_C.Amps.Now,NaN,NaN
TLM_2_Tx2.4v_C.Amps.Now,NaN,NaN
TLM_2_Tx3.4v_C.Amps.Now,NaN,NaN
TLM_3_Tx1.4v_C.Amps.Now,NaN,NaN
TLM_3_Tx2.4v_C.Amps.Now,NaN,NaN
TLM_3_Tx3.4v_C.Amps.Now,NaN,NaN
TLM_4_Tx1.4v_C.Amps.Now,NaN,NaN
TLM_4_Tx2.4v_C.Amps.Now,NaN,NaN
TLM_4_Tx3.4v_C.Amps.Now,NaN,NaN
TLM_5_Tx1.4v_C.Amps.Now,NaN,NaN
TLM_5_Tx2.4v_C.Amps.Now,NaN,NaN
TLM_5_Tx3.4v_C.Amps.Now,NaN,NaN
TLM_6_Tx1.4v_C.Amps.Now,NaN,NaN
TLM_6_Tx2.4v_C.Amps.Now,NaN,NaN
TLM_6_Tx3.4v_C.Amps.Now,NaN,NaN
TLM_1_Tx1.36v.Amps.Now,NaN,NaN
TLM_1_Tx2.36v.Amps.Now,NaN,NaN
TLM_1_Tx3.36v.Amps.Now,NaN,NaN
TLM_2_Tx1.36v.Amps.Now,NaN,NaN
TLM_2_Tx2.36v.Amps.Now,NaN,NaN
TLM_2_Tx3.36v.Amps.Now,NaN,NaN
TLM_3_Tx1.36v.Amps.Now,NaN,NaN
TLM_3_Tx2.36v.Amps.Now,NaN,NaN
TLM_3_Tx3.36v.Amps.Now,NaN,NaN
TLM_4_Tx1.36v.Amps.Now,NaN,NaN
TLM_4_Tx2.36v.Amps.Now,NaN,NaN
TLM_4_Tx3.36v.Amps.Now,NaN,NaN
TLM_5_Tx1.36v.Amps.Now,NaN,NaN
TLM_5_Tx2.36v.Amps.Now,NaN,NaN
TLM_5_Tx3.36v.Amps.Now,NaN,NaN
TLM_6_Tx1.36v.Amps.Now,NaN,NaN
TLM_6_Tx2.36v.Amps.Now,NaN,NaN
TLM_6_Tx3.36v.Amps.Now,NaN,NaN
TLM_1_Tx1.TempSensors.Combined,20,90
TLM_1_Tx2.TempSensors.Combined,20,90
TLM_1_Tx3.TempSensors.Combined,20,90
TLM_2_Tx1.TempSensors.Combined,20,90
TLM_2_Tx2.TempSensors.Combined,20,90
TLM_2_Tx3.TempSensors.Combined,20,90
TLM_3_Tx1.TempSensors.Combined,20,90
TLM_3_Tx2.TempSensors.Combined,20,90
TLM_3_Tx3.TempSensors.Combined,20,90
TLM_4_Tx1.TempSensors.Combined,20,90
TLM_4_Tx2.TempSensors.Combined,20,90
TLM_4_Tx3.TempSensors.Combined,20,90
TLM_5_Tx1.TempSensors.Combined,20,90
TLM_5_Tx2.TempSensors.Combined,20,90
TLM_5_Tx3.TempSensors.Combined,20,90
TLM_6_Tx1.TempSensors.Combined,20,90
TLM_6_Tx2.TempSensors.Combined,20,90
TLM_6_Tx3.TempSensors.Combined,20,90
TLM_1_Tx1.TempSensors.Board,20,90
TLM_1_Tx2.TempSensors.Board,20,90
TLM_1_Tx3.TempSensors.Board,20,90
TLM_2_Tx1.TempSensors.Board,20,90
TLM_2_Tx2.TempSensors.Board,20,90
TLM_2_Tx3.TempSensors.Board,20,90
TLM_3_Tx1.TempSensors.Board,20,90
TLM_3_Tx2.TempSensors.Board,20,90
TLM_3_Tx3.TempSensors.Board,20,90
TLM_4_Tx1.TempSensors.Board,20,90
TLM_4_Tx2.TempSensors.Board,20,90
TLM_4_Tx3.TempSensors.Board,20,90
TLM_5_Tx1.TempSensors.Board,20,90
TLM_5_Tx2.TempSensors.Board,20,90
TLM_5_Tx3.TempSensors.Board,20,90
TLM_6_Tx1.TempSensors.Board,20,90
TLM_6_Tx2.TempSensors.Board,20,90
TLM_6_Tx3.TempSensors.Board,20,90
