Lens and feed coordinates within the array global CS and probe rotation angle - Lens: EVT_Rx_ES1_V10_Npa48_UnBal_L6-89-10_Nominal_17.7_21.2_Nf8 - Array geometry: Mrk1_S2000_TLM_RX_ArrayGeometry_V20062022.csv - Array Tool Version 23112022
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
3.00,32.00,-32.50,18.70,-50.55,22.41,229.50,319.50,139.50,274.50
3.00,33.00,-32.50,18.70,-53.09,17.08,49.50,229.50,49.50,274.50
3.00,34.00,-32.50,18.70,-49.74,12.22,49.50,319.50,139.50,274.50
3.00,35.00,-32.50,18.70,-46.40,7.36,229.50,229.50,49.50,274.50
3.00,36.00,-32.50,18.70,-43.06,2.49,49.50,319.50,139.50,274.50
3.00,37.00,-32.50,18.70,-37.18,2.96,229.50,229.50,49.50,274.50
3.00,38.00,-32.50,18.70,-33.84,-1.91,229.50,319.50,139.50,274.50
3.00,39.00,-32.50,18.70,-27.96,-1.44,229.50,229.50,49.50,274.50
3.00,40.00,-32.50,18.70,-19.53,4.34,49.50,319.50,139.50,274.50
3.00,41.00,-32.50,18.70,-16.99,9.67,49.50,229.50,49.50,274.50
3.00,42.00,-32.50,18.70,-14.45,14.99,49.50,319.50,139.50,274.50
3.00,43.00,-32.50,18.70,-11.91,20.32,49.50,229.50,49.50,274.50
3.00,44.00,-32.50,18.70,-15.26,25.18,229.50,319.50,139.50,274.50
3.00,45.00,-32.50,18.70,-18.60,30.04,49.50,229.50,49.50,274.50
3.00,46.00,-32.50,18.70,-21.94,34.91,229.50,319.50,139.50,274.50
3.00,47.00,-32.50,18.70,-31.16,39.31,49.50,229.50,49.50,274.50
3.00,48.00,-32.50,18.70,-37.04,38.84,49.50,319.50,139.50,274.50
